CASENUM,PERNO,VEHNO,AGE_H,SEX_H,SEAT_H,PERALC_H,WEIGHT,PER_TYPE,SEAT_POS,EJECT,SEX,HOSPITAL,PER_ALCH,LOCATN,REST_SYS,PER_DRUG,IMPAIRMT,ACTION,SAF_EQMT,AIRBAG,REGION,AGE,PJ,PSU,STR_VEH,EJECT_I
110216433,1,1,24,1,11,1,53.888,1,11,0,1,1,1,0,1,1,0,0,0,9,1,24,4,2,0,0
110216437,1,1,27,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,27,4,2,0,0
110216449,1,1,45,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,45,9,2,0,0
110216449,2,1,49,1,13,0,57.522,2,13,0,1,1,0,0,1,0,0,0,0,9,1,49,9,2,0,0
110216449,3,1,42,1,23,0,57.522,2,23,0,1,1,0,0,0,0,0,0,0,0,1,42,9,2,0,0
110216449,1,2,63,1,11,1,57.522,1,11,0,1,0,1,0,0,1,0,0,0,9,1,63,9,2,0,0
110216464,1,1,48,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,48,9,2,0,0
110216488,1,1,18,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,18,9,2,0,0
110216488,1,2,19,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,19,9,2,0,0
110216491,1,1,51,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,0,1,51,9,2,0,0
110216493,1,1,24,1,11,2,57.522,1,11,0,1,0,2,0,1,1,98,0,0,9,1,24,9,2,0,0
110216494,1,1,21,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,21,9,2,0,0
110216494,2,1,17,1,13,0,57.522,2,13,0,1,0,0,0,1,0,0,0,0,9,1,17,9,2,0,0
110216522,1,1,38,2,11,1,98.562,1,11,0,2,1,1,0,1,1,0,0,0,9,1,38,6,2,0,0
110216522,1,2,26,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,1,1,26,6,2,0,0
110216522,1,3,45,1,11,1,98.562,1,11,0,1,0,1,0,0,1,0,0,0,0,1,45,6,2,0,0
110216522,2,3,43,1,13,0,98.562,2,13,0,1,0,0,0,0,0,0,0,0,0,1,43,6,2,0,0
110216526,1,1,51,1,11,1,53.888,1,11,0,1,1,1,0,0,1,0,0,0,0,1,51,4,2,0,0
110216544,1,1,17,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,17,1,2,0,0
110216544,1,2,76,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,76,1,2,0,0
110216561,1,1,49,2,11,1,81.438,1,11,0,2,1,1,0,1,1,0,0,0,9,1,49,3,2,0,0
110216561,1,2,24,2,11,1,81.438,1,11,0,2,1,1,0,1,1,0,0,0,9,1,24,3,2,0,0
110216561,2,2,38,1,13,0,81.438,2,13,0,1,1,0,0,1,0,0,0,0,9,1,38,3,2,0,0
110216566,1,1,21,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,21,9,2,0,0
110216566,1,2,18,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,18,9,2,0,0
110216570,1,1,53,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,53,9,2,0,0
110216572,1,1,53,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,53,9,2,0,0
110216582,1,1,16,1,11,1,89.853,1,11,0,1,0,1,0,1,2,98,0,0,9,1,16,10,2,0,0
110216585,1,1,30,1,11,1,89.853,1,11,0,1,0,1,0,1,1,0,0,0,9,1,30,10,2,0,0
110216585,2,1,30,1,13,0,89.853,2,13,0,1,0,0,0,1,0,0,0,0,9,1,30,10,2,0,0
110216585,1,2,22,2,11,1,89.853,1,11,0,2,0,1,0,1,1,0,0,0,9,1,22,10,2,0,0
110216585,2,2,22,1,13,0,89.853,2,13,0,1,0,0,0,1,0,0,0,0,9,1,22,10,2,0,0
110216620,1,1,29,1,11,2,89.853,1,11,0,1,0,2,0,9,1,98,0,0,0,1,29,10,2,0,0
110216628,1,1,45,2,11,1,53.888,1,11,0,2,0,1,0,1,1,0,0,0,9,1,45,4,2,0,0
110216628,1,2,57,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,0,1,57,4,2,0,0
110216630,1,1,43,2,11,1,53.888,1,11,0,2,1,1,0,1,1,0,0,0,9,1,43,4,2,0,0
110216630,2,1,4,2,22,0,53.888,2,22,0,2,0,0,0,6,0,0,0,0,0,1,4,4,2,0,0
110216674,1,1,19,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,19,9,2,0,0
110216674,2,1,19,1,13,0,57.522,2,13,0,1,1,0,0,1,0,0,0,0,9,1,19,9,2,0,0
110216678,1,1,41,2,11,1,57.522,1,11,0,2,1,1,0,1,1,1,0,0,0,1,41,9,2,0,0
110216718,1,1,27,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,27,2,2,0,0
110216718,1,2,18,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,1,1,18,2,2,0,0
110216729,1,1,72,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,72,3,2,0,0
110216729,1,2,30,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,30,3,2,0,0
110216754,1,1,33,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,9,1,33,6,2,0,0
110216754,1,2,39,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,9,1,39,6,2,0,0
110216761,1,1,42,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,9,1,42,1,2,0,0
110216772,1,1,35,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,0,1,35,9,2,0,0
110216772,2,1,47,2,13,0,57.522,2,13,0,2,1,0,0,1,0,0,0,0,0,1,47,9,2,0,0
110216772,1,2,17,2,11,1,57.522,1,11,0,2,1,1,0,1,1,0,0,0,9,1,17,9,2,0,0
110216772,2,2,17,1,13,0,57.522,2,13,0,1,1,0,0,1,0,0,0,0,9,1,17,9,2,0,0
110216783,1,1,46,2,11,1,57.522,1,11,0,2,1,1,0,1,1,0,0,0,9,1,46,9,2,0,0
110216785,1,1,17,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,17,9,2,0,0
110216785,1,2,19,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,19,9,2,0,0
110216785,2,2,20,2,13,0,57.522,2,13,0,2,0,0,0,1,0,0,0,0,9,1,20,9,2,0,0
110216787,1,1,38,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,38,9,2,0,0
110216787,1,2,35,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,35,9,2,0,0
110216787,2,2,33,2,13,0,57.522,2,13,0,2,0,0,0,1,0,0,0,0,9,1,33,9,2,0,0
110216787,3,2,26,2,21,0,57.522,2,21,0,2,0,0,0,2,0,0,0,0,0,1,26,9,2,0,0
110216787,4,2,26,1,23,0,57.522,2,23,0,1,0,0,0,2,0,0,0,0,0,1,26,9,2,0,0
110216801,1,1,18,2,11,1,89.853,1,11,0,2,0,1,0,1,1,0,0,0,9,1,18,10,2,0,0
110216808,1,1,61,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,1,1,61,3,2,0,0
110216812,1,1,18,2,11,1,271.46,1,11,0,2,0,1,0,1,1,0,0,0,9,1,18,3,2,0,0
110216812,2,1,20,1,13,0,271.46,2,13,0,1,0,0,0,1,0,0,0,0,9,1,20,3,2,0,0
110216898,1,1,53,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,53,1,2,0,0
110216898,1,2,37,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,37,1,2,0,0
110216910,1,1,24,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,24,9,2,0,0
110216910,1,2,22,2,11,1,57.522,1,11,0,2,0,1,0,0,1,0,0,0,9,1,22,9,2,0,0
110216959,1,1,66,2,11,1,269.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,66,4,2,0,0
110216959,1,2,29,1,11,1,269.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,29,4,2,0,0
110216982,1,1,37,2,11,1,57.522,1,11,8,2,1,1,0,5,1,0,0,0,0,1,37,9,2,0,8
110216990,1,1,36,2,11,1,98.562,1,11,0,2,1,1,0,1,1,0,0,0,9,1,36,6,2,0,0
110216990,2,1,70,2,13,0,98.562,2,13,0,2,0,0,0,1,0,0,0,0,9,1,70,6,2,0,0
110216990,3,1,11,2,23,0,98.562,2,23,0,2,0,0,0,2,0,0,0,0,0,1,11,6,2,0,0
110216990,1,2,23,2,11,1,98.562,1,11,0,2,0,1,0,1,1,0,0,0,9,1,23,6,2,0,0
110217034,1,1,49,1,11,1,89.853,1,11,8,1,1,1,0,5,1,0,0,0,0,1,49,10,2,0,8
110217045,1,1,23,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,0,1,23,2,2,0,0
110217046,1,1,67,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,9,1,67,3,2,0,0
110217046,1,2,39,1,11,1,27.146,1,11,8,1,1,1,0,5,1,0,0,0,0,1,39,3,2,0,8
110217059,1,1,22,2,11,1,246.404,1,11,0,2,0,1,0,1,1,0,0,0,9,1,22,6,2,0,0
110217071,1,1,33,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,33,9,2,0,0
110217071,1,2,65,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,65,9,2,0,0
110217071,2,2,62,2,13,0,57.522,2,13,0,2,0,0,0,1,0,0,0,0,9,1,62,9,2,0,0
110217071,1,3,60,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,60,9,2,0,0
110217085,1,1,83,2,11,1,81.438,1,11,0,2,1,1,0,1,1,0,0,0,9,1,83,1,2,0,0
110217085,1,2,30,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,30,1,2,0,0
110217085,2,2,44,2,13,0,81.438,2,13,0,2,1,0,0,1,0,0,0,0,9,1,44,1,2,0,0
110217085,3,2,4,2,23,0,81.438,2,23,0,2,1,0,0,6,0,0,0,0,0,1,4,1,2,0,0
110217107,1,1,16,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,16,3,2,0,0
110217107,1,2,76,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,76,3,2,0,0
110217107,2,2,78,2,13,0,81.438,2,13,0,2,1,0,0,1,0,0,0,0,9,1,78,3,2,0,0
110217123,1,1,54,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,9,1,54,6,2,0,0
110217126,1,1,52,2,11,1,246.404,1,11,0,2,0,1,0,1,1,0,0,0,9,1,52,6,2,0,0
110217130,1,0,14,1,0,1,27.146,6,0,8,1,0,1,12,0,1,0,5,2,8,1,14,2,2,1,8
110217130,1,1,17,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,0,1,17,2,2,0,0
110217130,2,1,53,2,13,0,27.146,2,13,0,2,0,0,0,1,0,0,0,0,0,1,999,2,2,0,0
110217134,1,1,48,1,11,1,269.438,1,11,8,1,1,1,0,5,1,0,0,0,0,1,48,4,2,0,8
110217134,2,1,43,2,12,0,269.438,2,12,8,2,0,0,0,5,0,0,0,0,0,1,43,4,2,0,8
110217140,1,1,72,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,72,9,2,0,0
110217140,2,1,69,2,13,0,57.522,2,13,0,2,1,0,0,1,0,0,0,0,9,1,69,9,2,0,0
110217140,1,2,50,2,11,1,57.522,1,11,0,2,1,1,0,1,1,0,0,0,9,1,50,9,2,0,0
110217152,1,1,18,1,11,1,89.853,1,11,0,1,0,9,0,9,9,99,0,0,9,1,18,10,2,0,0
110217152,2,1,28,2,13,0,89.853,2,13,0,2,0,0,0,0,0,0,0,0,9,1,999,10,2,0,0
110217152,3,1,24,1,23,0,89.853,2,23,0,1,0,0,0,9,0,0,0,0,0,1,24,10,2,0,0
110217160,1,1,18,2,11,1,53.888,1,11,0,2,0,1,0,2,1,0,0,0,1,1,18,4,2,0,0
110217164,1,1,80,2,11,1,89.853,1,11,0,2,1,1,0,2,1,0,0,0,1,1,80,10,2,0,0
110217164,2,1,75,1,13,0,89.853,2,13,0,1,1,0,0,1,0,0,0,0,1,1,75,10,2,0,0
110217164,1,2,27,2,11,1,89.853,1,11,0,2,1,1,0,1,1,0,0,0,9,1,27,10,2,0,0
110217164,2,2,0,2,21,0,89.853,2,21,0,2,1,0,0,6,0,0,0,0,0,1,0,10,2,0,0
110217164,3,2,0,2,22,0,89.853,2,22,0,2,1,0,0,6,0,0,0,0,0,1,0,10,2,0,0
110217175,1,1,38,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,38,9,2,0,0
110217182,1,0,14,1,0,1,27.146,6,0,8,1,0,1,12,0,1,0,7,2,8,1,14,2,2,1,8
110217182,1,1,17,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,0,1,17,2,2,0,0
110217182,2,1,38,2,13,0,27.146,2,13,0,2,0,0,0,1,0,0,0,0,0,1,999,2,2,0,0
110217193,1,1,17,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,1,1,17,3,2,0,0
110217193,1,2,51,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,0,1,51,3,2,0,0
110217219,1,1,43,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,43,4,2,0,0
110217219,1,2,17,2,11,1,53.888,1,11,0,2,0,1,0,1,1,0,0,0,9,1,17,4,2,0,0
110217219,2,2,18,2,13,0,53.888,2,13,0,2,0,0,0,1,0,0,0,0,9,1,18,4,2,0,0
110217227,1,1,32,2,11,1,269.56,1,11,0,2,0,1,0,1,1,0,0,0,9,1,32,10,2,0,0
110217227,2,1,1,2,22,0,269.56,2,22,0,2,0,0,0,6,0,0,0,0,0,1,1,10,2,0,0
110217229,1,1,25,1,11,2,89.853,1,11,0,1,1,2,0,0,1,98,0,0,0,1,25,10,2,0,0
110217246,1,1,32,1,11,1,246.404,1,11,0,1,0,1,0,1,1,0,0,0,0,1,32,6,2,0,0
110217246,1,2,17,2,11,1,246.404,1,11,0,2,0,1,0,1,1,0,0,0,9,1,17,6,2,0,0
110217262,1,1,40,2,11,1,271.46,1,11,0,2,0,1,0,1,1,0,0,0,9,1,40,3,2,0,0
110217270,1,1,25,2,11,1,106.646,1,11,0,2,0,1,0,1,1,0,0,0,9,1,25,16,2,0,0
110217270,2,1,28,1,13,0,106.646,2,13,0,1,0,0,0,1,0,0,0,0,9,1,28,16,2,0,0
110217270,3,1,11,1,21,0,106.646,2,21,0,1,0,0,0,1,0,0,0,0,0,1,11,16,2,0,0
